kalshi_game_id,espn_game_id
KXNCAAMBGAME-26MAR14CHARUSF,401851227
KXNCAAMBGAME-26MAR14UNMSDSU,401851504
KXNCAAMBGAME-26MAR13CSFHAW,401851397
KXNCAAMBGAME-26MAR13OKLAARK,401851568
KXNCAAMBGAME-26MAR13CSNUCI,401851395
KXNCAAMBGAME-26MAR13SBONDAY,401851272
KXNCAAMBGAME-26MAR13CHARUAB,401851225
KXNCAAMBGAME-26MAR13MOSULT,401851413
KXNCAAMBGAME-26MAR12UCDCSF,401851394
KXNCAAMBGAME-26MAR12ACUTU,401851735
KXNCAAMBGAME-26MAR12OKLATXAM,401851564
KXNCAAMBGAME-26MAR12UCSDCSN,401851393
KXNCAAMBGAME-26MAR12ARPBSOU,401851720
KXNCAAMBGAME-26MAR12TULNCHAR,401851223
KXNCAAMBGAME-26MAR12LCHIDAV,401851268
KXNCAAMBGAME-26MAR12MTULT,401851410
KXNCAAMBGAME-26MAR12NEVGC,401851500
KXNCAAMBGAME-26MAR12NWPUR,401851377
KXNCAAMBGAME-26MAR12BUFFAKR,401858188
KXNCAAMBGAME-26MAR12SBONGMU,401851264

KXNCAAMBGAME-26MAR07UTAAC,401805214
KXNCAAMBGAME-26MAR07HAMPTOWS,401856425
KXNCAAMBGAME-26MAR07TXAMLSU,401808282
KXNCAAMBGAME-26MAR07INDOSU,401825563
KXNCAAMBGAME-26MAR07BSUCSU,401823834
KXNCAAMBGAME-26MAR07STANNCST,401820791
KXNCAAMBGAME-26MAR07JVSTUTEP,401804965
KXNCAAMBGAME-26MAR07MTUMOSU,401804968
KXNCAAMBGAME-26MAR07PREWIN,401851352
KXNCAAMBGAME-26MAR07GWLCHI,401828467
KXNCAAMBGAME-26MAR07SCARMISS,401808283
KXNCAAMBGAME-26MAR07ARKMIZZ,401808285
KXNCAAMBGAME-26MAR07STNHMHU,401851517
KXNCAAMBGAME-26MAR07CAMPSTON,401856423
KXNCAAMBGAME-26MAR07UNCAHP,401851351
KXNCAAMBGAME-26MAR07ALBYMASSL,401851200
KXNCAAMBGAME-26MAR07DAVSBON,401828463
KXNCAAMBGAME-26MAR06PRERAD,401851350
KXNCAAMBGAME-26MAR06MOHOHIO,401814601
KXNCAAMBGAME-26MAR06FAIRSPC,401851460
KXNCAAMBGAME-26MAR06VALPBRAD,401851490
KXNCAAMBGAME-26MAR06UWGAQUC,401851248
KXNCAAMBGAME-26MAR06BUFFTOL,401814599
KXNCAAMBGAME-26MAR06NEOMSDAK,401851621
KXNCAAMBGAME-26MAR06CLMBHARV,401812624
KXNCAAMBGAME-26MAR06STETPEAY,401851247
KXNCAAMBGAME-26MAR06UICMURR,401851489
KXNCAAMBGAME-26MAR06CITCHAT,401851579
KXNCAAMBGAME-26MAR06WEBBHP,401851347
KXNCAAMBGAME-26MAR06UCRVHAW,401809151

KXNCAAMBGAME-26MAR11NWIND,401851369
KXNCAAMBGAME-26MAR11AFANEV,401851496
KXNCAAMBGAME-26MAR11PVCOOK,401851718
KXNCAAMBGAME-26MAR11LCHIRICH,401851260
KXNCAAMBGAME-26MAR11PITTNCST,401851173
KXNCAAMBGAME-26MAR11SBONLAS,401851258
KXNCAAMBGAME-26MAR10UTRGVMCNS,401851612
KXNCAAMBGAME-26MAR10NMSUJVST,401851406
KXNCAAMBGAME-26MAR10MOSUFIU,401851405
KXNCAAMBGAME-26MAR10MASSLUMBC,401851202
KXNCAAMBGAME-26MAR09DETRMU,401851433
KXNCAAMBGAME-26MAR09TOWSHOF,401856432
KXNCAAMBGAME-26MAR09NICHUTRGV,401851608
KXNCAAMBGAME-26MAR09CAMPMONM,401856431
KXNCAAMBGAME-26MAR08WMHOF,401856430
KXNCAAMBGAME-26MAR08TOWSCOFC,401856429
KXNCAAMBGAME-26MAR08CHARUSF,401828263
KXNCAAMBGAME-26MAR08CAMPUNCW,401856427
KXNCAAMBGAME-26MAR08LBSUHAW,401809152
KXNCAAMBGAME-26MAR07UNDUST,401851627
KXNCAAMBGAME-26MAR07AFANEV,401820576
KXNCAAMBGAME-26MAR07GASOCCAR,401851703
KXNCAAMBGAME-26MAR07OKLATEX,401808287
KXNCAAMBGAME-26MAR07NWMINN,401825562
KXNCAAMBGAME-26MAR07ELONWM,401856426
KXNCAAMBGAME-26MAR07CSFCSN,401823186
KXNCAAMBGAME-26MAR07QUCPEAY,401851250
KXNCAAMBGAME-26MAR07NEOMNDSU,401851626
KXNCAAMBGAME-26MAR07FRESGC,401823806
KXNCAAMBGAME-26MAR07CSBCP,401809164
KXNCAAMBGAME-26MAR05UCSDCSF,401809103
KXNCAAMBGAME-26MAR05ACCBU,401805211
KXNCAAMBGAME-26MAR05CSNCSB,401823271
KXNCAAMBGAME-26MAR05ARPBALCN,401827152
KXNCAAMBGAME-26MAR05LINWSEMO,401851528
KXNCAAMBGAME-26MAR05JVSTNMSU,401804959
KXNCAAMBGAME-26MAR05SDSTUST,401851622
KXNCAAMBGAME-26MAR05UTATARL,401805212
KXNCAAMBGAME-26MAR05COOKFAMU,401827126
KXNCAAMBGAME-26MAR05WKUMOSU,401804961
KXNCAAMBGAME-26MAR05INSTVALP,401851486
KXNCAAMBGAME-26MAR05LMDCOLG,401851545
KXNCAAMBGAME-26MAR05MTUFIU,401804962
KXNCAAMBGAME-26MAR04UALRLINW,401851524
KXNCAAMBGAME-26MAR04UMKCORU,401851619
KXNCAAMBGAME-26MAR04PURNW,401825556
KXNCAAMBGAME-26MAR04LCHISLU,401828461
KXNCAAMBGAME-26MAR04WEBBSCUS,401851346
KXNCAAMBGAME-26MAR04SBONGW,401828460
KXNCAAMBGAME-26MAR04UABCHAR,401828256
KXNCAAMBGAME-26MAR04UNFUWGA,401851243
KXNCAAMBGAME-26MAR04MILWDET,401851426
KXNCAAMBGAME-26MAR04STNHLMC,401851516
KXNCAAMBGAME-26MAR04CLEVWRST,401851423
KXNCAAMBGAME-26MAR04FDUMHU,401851515
KXNCAAMBGAME-26MAR04CHSLIU,401851513
KXNCAAMBGAME-26MAR04MINNIND,401825555
KXNCAAMBGAME-26MAR04STETEKY,401851241
KXNCAAMBGAME-26MAR04JACBELL,401851238
KXNCAAMBGAME-26MAR03ARPBJKST,401827151
KXNCAAMBGAME-26MAR03SDSUBSU,401823786
KXNCAAMBGAME-26MAR03GCAFA,401820575
KXNCAAMBGAME-26MAR03ALBYUVM,401812174
KXNCAAMBGAME-26MAR03UKTXAM,401808275
KXNCAAMBGAME-26MAR03HAMPWM,401812097
KXNCAAMBGAME-26MAR03MIZZOKLA,401808280
KXNCAAMBGAME-26MAR03TOLMOH,401814597
KXNCAAMBGAME-26MAR03NCATCAMP,401812098
KXNCAAMBGAME-26MAR03EMUBUFF,401814594
KXNCAAMBGAME-26MAR03TOWSSTON,401812096
KXNCAAMBGAME-26MAR03TENNSCAR,401808278
KXNCAAMBGAME-26MAR03MASSLME,401812177
KXNCAAMBGAME-26MAR02MCNSNICH,401808889
KXNCAAMBGAME-26MAR02NWSTUTRGV,401808947
KXNCAAMBGAME-26MAR02SFAIW,401808975
KXNCAAMBGAME-26MAR02DUKENCST,401820778
KXNCAAMBGAME-26MAR02IUINCLEV,401851421
KXNCAAMBGAME-26MAR01MSUIND,401825550
KXNCAAMBGAME-26MAR01MURRBRAD,401830221
KXNCAAMBGAME-26MAR01SPCMRST,401813344
KXNCAAMBGAME-26MAR01CHARFAU,401828251
KXNCAAMBGAME-26MAR01MRMKNIAG,401813396
KXNCAAMBGAME-26FEB28GCUSU,401823805
KXNCAAMBGAME-26FEB28LBSUCSB,401823339
KXNCAAMBGAME-26FEB28TARLCBU,401805209
KXNCAAMBGAME-26FEB28BSUFRES,401823833
KXNCAAMBGAME-26FEB28ORUUMKC,401818439
KXNCAAMBGAME-26FEB28CSNUCRV,401823270
KXNCAAMBGAME-26FEB28NEOMUST,401818438
KXNCAAMBGAME-26FEB28HAWCSF,401809150
KXNCAAMBGAME-26FEB28STONHOF,401812092
KXNCAAMBGAME-26FEB28MVSUARPB,401827150
KXNCAAMBGAME-26FEB28MCNSUNO,401808888
KXNCAAMBGAME-26FEB28LIBJVST,401804955
KXNCAAMBGAME-26FEB28OKLALSU,401808269
KXNCAAMBGAME-26FEB28JACUNF,401807765
KXNCAAMBGAME-26FEB28YALECLMB,401818336
KXNCAAMBGAME-26FEB28MOSUSHSU,401804954
KXNCAAMBGAME-26FEB28ETAMUTRGV,401808722
KXNCAAMBGAME-26FEB28LAMIW,401820497
KXNCAAMBGAME-26FEB28RICHLCHI,401828452
KXNCAAMBGAME-26FEB28ACUVU,401805208
KXNCAAMBGAME-26FEB28USIUALR,401806510
KXNCAAMBGAME-26FEB28TEXTXAM,401808272
KXNCAAMBGAME-26FEB28LIPEKY,401807766
KXNCAAMBGAME-26FEB28VALPEVAN,401830315
KXNCAAMBGAME-26FEB28LINWWIU,401806509
KXNCAAMBGAME-26FEB28PREWIN,401823964
KXNCAAMBGAME-26FEB28AFAWYO,401830777
KXNCAAMBGAME-26FEB28SCARUGA,401808267
KXNCAAMBGAME-26FEB28COOKSOU,401827036
KXNCAAMBGAME-26FEB28DETOAK,401817688
KXNCAAMBGAME-26FEB28MHUSTNH,401812410
KXNCAAMBGAME-26FEB28PEAYBELL,401807763
KXNCAAMBGAME-26FEB28WMNCAT,401812091
KXNCAAMBGAME-26FEB28CMUBUFF,401814588
KXNCAAMBGAME-26FEB28ORENW,401825546
KXNCAAMBGAME-26FEB28CAMPTOWS,401812089
KXNCAAMBGAME-26FEB28VMICHAT,401809388
KXNCAAMBGAME-26FEB28UNHALBY,401812172
KXNCAAMBGAME-26FEB28UNAUWGA,401807767
KXNCAAMBGAME-26FEB28WEBBSCUS,401823963
KXNCAAMBGAME-26FEB28SBONGMU,401828451
KXNCAAMBGAME-26FEB28NMSUMTU,401804951
KXNCAAMBGAME-26FEB28UMBCMASSL,401812171
KXNCAAMBGAME-26FEB28MIZZMSST,401808270
KXNCAAMBGAME-26FEB28CLEVRMU,401817689
KXNCAAMBGAME-26FEB28LMCNHC,401812349
KXNCAAMBGAME-26FEB28CHSWAG,401812418
KXNCAAMBGAME-26FEB28NCSTND,401820775
KXNCAAMBGAME-26FEB28LMDHC,401820208
KXNCAAMBGAME-26FEB27CCARJMU,401808695
KXNCAAMBGAME-26FEB27BRWNCLMB,401818546
KXNCAAMBGAME-26FEB27MANSPC,401813318
KXNCAAMBGAME-26FEB27QUINNIAG,401813395
KXNCAAMBGAME-26FEB27MOHWMU,401814590
KXNCAAMBGAME-26FEB26UCICSN,401809119
KXNCAAMBGAME-26FEB26CSBUCSD,401809101
KXNCAAMBGAME-26FEB26NDSUUST,401818432
KXNCAAMBGAME-26FEB26UCRVUCSB,401826049
KXNCAAMBGAME-26FEB26ACUTU,401805205
KXNCAAMBGAME-26FEB26EIULINW,401806503
KXNCAAMBGAME-26FEB26MOREUALR,401806504
KXNCAAMBGAME-26FEB26SDSTUMKC,401818433
KXNCAAMBGAME-26FEB26TARLUVU,401805206
KXNCAAMBGAME-26FEB26MHUCCSU,401812658
KXNCAAMBGAME-26FEB26NHCWAG,401812417
KXNCAAMBGAME-26FEB26UNCGCHAT,401809386
KXNCAAMBGAME-26FEB26SCUSRAD,401823960
KXNCAAMBGAME-26FEB26HPPRE,401823958
KXNCAAMBGAME-26FEB26UTEPMTU,401804946
KXNCAAMBGAME-26FEB26STETJAC,401807762
KXNCAAMBGAME-26FEB26CHSLIU,401812378
KXNCAAMBGAME-26FEB26FDULMC,401812331
KXNCAAMBGAME-26FEB26UNCAWEBB,401823959
KXNCAAMBGAME-26FEB26COOKGRAM,401827107
KXNCAAMBGAME-26FEB26DELJVST,401804950
KXNCAAMBGAME-26FEB26MASSLUVM,401812168
KXNCAAMBGAME-26FEB26SFPASTNH,401812399
KXNCAAMBGAME-26FEB26MOSULT,401804948
KXNCAAMBGAME-26FEB26CAMPDREX,401812086
KXNCAAMBGAME-26FEB26ELONTOWS,401812085
KXNCAAMBGAME-26FEB26NEWM,401812082
KXNCAAMBGAME-26FEB26STONMONM,401812399
KXNCAAMBGAME-26FEB26MEALBY,401812167
KXNCAAMBGAME-26FEB25URISBON,401828447
KXNCAAMBGAME-26FEB25UNLVGC,401823804
KXNCAAMBGAME-26FEB25CARKPEAY,401807759
KXNCAAMBGAME-26FEB25TXAMARK,401808259
KXNCAAMBGAME-26FEB25DRKEVALP,401830314
KXNCAAMBGAME-26FEB24XAVPROV,401822958
KXNCAAMBGAME-26FEB25LIPUWGA,401807761
KXNCAAMBGAME-26FEB25NKUCLEV,401817681
KXNCAAMBGAME-26FEB25DETRMU,401817683
