bucket,sample_count,mean_predicted_prob,empirical_win_rate
"(-0.001, 0.1]",18607,0.032600096737786854,0.02047616488418337
"(0.1, 0.2]",6271,0.15400414606920745,0.1578695582841652
"(0.2, 0.3]",5968,0.25479222520107236,0.2556970509383378
"(0.3, 0.4]",5734,0.35586850366236483,0.3456574816881758
"(0.4, 0.5]",5931,0.4551374135896139,0.4483223739672905
"(0.5, 0.6]",5843,0.5552969365052199,0.5504021906554852
"(0.6, 0.7]",5831,0.6544469216257932,0.6559766763848397
"(0.7, 0.8]",6000,0.7556016666666666,0.7468333333333333
"(0.8, 0.9]",6212,0.8561171925305859,0.8415969092079846
"(0.9, 1.0]",18589,0.9718559363064176,0.9793426219807413
