bucket,sample_count,mean_predicted_prob,empirical_win_rate
"(-0.001, 0.1]",19750,0.02734509055894899,0.02612658227848101
"(0.1, 0.2]",6275,0.14894055031661935,0.17928286852589642
"(0.2, 0.3]",5764,0.2498633519185435,0.2652671755725191
"(0.3, 0.4]",5462,0.3519580422423349,0.3610399121201025
"(0.4, 0.5]",5261,0.44943845508459085,0.45561680288918455
"(0.5, 0.6]",5524,0.5489609845620173,0.5474293989862419
"(0.6, 0.7]",5390,0.6493480684988117,0.6463821892393321
"(0.7, 0.8]",5618,0.7504680404821218,0.737629049483802
"(0.8, 0.9]",5987,0.850810593711417,0.8181058961082345
"(0.9, 1.0]",19955,0.9742064342102011,0.9723878727136056
