bucket,sample_count,mean_predicted_prob,empirical_win_rate
"(-0.001, 0.1]",19750,0.027358441419946287,0.02612658227848101
"(0.1, 0.2]",6275,0.1489907521632512,0.17928286852589642
"(0.2, 0.3]",5764,0.2499294452277927,0.2652671755725191
"(0.3, 0.4]",5462,0.35203605733006604,0.3610399121201025
"(0.4, 0.5]",5261,0.44952035428154136,0.45561680288918455
"(0.5, 0.6]",5502,0.5488368480044246,0.5468920392584514
"(0.6, 0.7]",5412,0.6492181638385679,0.6465262379896526
"(0.7, 0.8]",5618,0.7505242554754885,0.737629049483802
"(0.8, 0.9]",5987,0.8508438851267227,0.8181058961082345
"(0.9, 1.0]",19955,0.9742087928772464,0.9723878727136056
