stage,n_rows,n_games,model_roc_auc,baseline_roc_auc,model_log_loss,baseline_log_loss,model_brier,baseline_brier,model_ece_pp,baseline_ece_pp
first_half_early (min 0-4),10300,1030,0.8335762088792534,0.8335256857385237,0.4946654290362999,0.4944392310272961,0.16638001518208917,0.16626779611650486,1.7029794193914853,1.5661165048543673
first_half_mid (min 5-14),20600,1030,0.8638242435667829,0.8637958290131021,0.4509590770052393,0.4512687057343842,0.1508198830325847,0.15069034466019415,1.4940103474643252,1.1731553398058259
first_half_late (min 15-19),10512,1030,0.8993872372286279,0.8994018613792688,0.3928418987219369,0.3943317206764084,0.12957856579601862,0.12965144596651448,1.8532680714333978,1.9067732115677336
halftime,114,17,1.0,1.0,0.006883356107900201,0.011031777463243034,5.600170192800411e-05,0.00013245614035087733,0.6855148671002138,1.0964912280701697
second_half_early (min 20-24),10162,1021,0.909087562049802,0.9090906414684745,0.3774448567511914,0.37744070932363116,0.12301461308899451,0.12288718756150364,1.4226172881683194,1.5160401495768538
second_half_mid (min 25-34),20470,1024,0.9380983955692901,0.9381551087308534,0.3165511497980938,0.315375058910374,0.10100626201886317,0.10062357596482657,1.509589414816023,0.8619443087445007
second_half_late (min 35+),12072,1024,0.9852301724225007,0.9850864028332764,0.15805658973583028,0.1603767263790047,0.047866556873008455,0.048026424784625585,0.6656200798522401,1.3717693836978124
other (ot1),626,54,0.9103338811256623,0.9105737529218426,0.3707311302649149,0.380320468942487,0.12313161055841738,0.12527587859424918,2.987440164360977,5.13258785942492
other (ot2),118,10,0.9823326630278655,0.9821890261419132,0.2302246303945394,0.2531298384179787,0.0664807049474535,0.07256186440677967,12.839768633743503,11.788135593220339
other (ot3),12,1,0.5555555555555556,0.5555555555555556,0.9798978405801142,0.8847454738867033,0.3780859728618946,0.34589166666666654,50.48260458468693,48.91666666666667
